date,session,number,bill,question,result,description,yeatotal,naytotal
2005-02-09,1st,25,H CON RES 26,On Motion to Suspend the Rules and Agree,Passed,"Honoring the Tuskegee Airmen for their bravery in fighting for our freedom in World War II, and for their contribution in creating an integrated United States Air Force",423,0
2005-02-09,1st,26,H CON RES 30,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day,422,0
2005-02-10,1st,27,H RES 75,On Agreeing to the Resolution,Passed,"Providing for further consideration of H.R. 418, REAL ID Act",228,198
2005-02-10,1st,28,H R 418,On Agreeing to the Amendment,Failed,,185,236
2005-02-10,1st,29,H R 418,On Agreeing to the Amendment,Failed,,179,243
2005-02-10,1st,30,H R 418,On Motion to Recommit with Instructions,Failed,REAL ID Act,195,229
2005-02-10,1st,31,H R 418,On Passage,Passed,REAL ID Act,261,161
2005-02-15,1st,32,H CON RES 25,On Motion to Suspend the Rules and Agree,Passed,"Recognizing the contributions of Jibreel Khazan (Ezell Blair, Jr.), David Richmond, Joseph McNeil, and Franklin McCain, the “Greensboro Four”, to the civil rights movement",424,0
2005-02-15,1st,33,H R 324,On Motion to Suspend the Rules and Pass,Passed,Arthur Stacey Mastrapa Post Office Building,420,0
2005-02-16,1st,34,H RES 95,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 310) to increase the penalties for violations by television and radio broadcasters of the prohibitions against the transmission of obscene, indecent, and profane material, and for other purposes",230,198
2005-02-16,1st,35,H R 310,On Passage,Passed,Broadcast Decency Enforcement Act,389,38
2005-02-17,1st,36,S 5,On Agreeing to the Amendment,Failed,,178,247
2005-02-17,1st,37,S 5,On Motion to Commit with Instructions,Failed,Class Action Fairness Act,175,249
2005-02-17,1st,38,S 5,On Passage,Passed,Class Action Fairness Act,279,149
2005-02-17,1st,39,H RES 91,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Honoring the life and legacy of former Lebanese Prime Minister Rafik Hariri.,409,0
2005-03-01,1st,40,H CON RES 5,"On Motion to Suspend the Rules and Agree, as Amended",Passed,"Providing for the acceptance of a statue of Sarah Winnemucca, presented by the people of Nevade, for placement in National Statuary Hall, and for other purposes",418,0
2005-03-01,1st,41,H CON RES 63,On Motion to Suspend the Rules and Agree,Passed,Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust,416,0
2005-03-02,1st,42,H RES 126,On Agreeing to the Resolution,Passed,"Providing for the consideration of H.R. 27, Job Training Improvement Act",227,191
2005-03-02,1st,43,H R 912,On Motion to Suspend the Rules and Pass,Passed,Humanitarian Assistance Code of Conduct Act,416,0
2005-03-02,1st,44,H R 27,On Agreeing to the Amendment,Failed,,200,222
2005-03-02,1st,45,H R 27,On Agreeing to the Amendment,Failed,,202,221
2005-03-02,1st,46,H R 27,On Agreeing to the Amendment,Failed,,186,239
2005-03-02,1st,47,H R 27,On Motion to Recommit with Instructions,Failed,Job Training Improvement Act,197,228
2005-03-02,1st,48,H R 27,On Passage,Passed,Job Training Improvement Act,224,200
2005-03-03,1st,49,H R 841,On Agreeing to the Amendment,Failed,,192,229
2005-03-03,1st,50,H R 841,On Agreeing to the Amendment,Failed,,183,239
2005-03-03,1st,51,H R 841,On Motion to Recommit with Instructions,Failed,Continuity in Representation Act,196,223
2005-03-03,1st,52,H R 841,On Passage,Passed,Continuity in Representation Act,329,68
2005-03-08,1st,53,JOURNAL,On Approving the Journal,Passed,,378,29
2005-03-08,1st,54,H RES 133,"On Motion to Suspend the Rules and Agree, As Amended",Passed,"Providing for amounts from the applicable accounts of the House of Representatives for continuing expenses of standing and select committees of the House from April 1, 2005 through April 30, 2005",406,0
2005-03-08,1st,55,H RES 122,On Motion to Suspend the Rules and Agree,Passed,Expressing the sense of the House of Representatives regarding the study of languages and supporting the designation of a Year of Languages,396,0
2005-03-09,1st,56,H R 3,On Agreeing to the Amendment,Failed,,198,226
2005-03-09,1st,57,H R 3,On Agreeing to the Amendment,Agreed to,,257,167
2005-03-09,1st,58,H R 3,On Agreeing to the Amendment,Agreed to,,236,184
2005-03-09,1st,59,H R 3,On Agreeing to the Amendment,Failed,,155,265
2005-03-09,1st,60,H R 3,On Agreeing to the Amendment,Agreed to,,218,201
2005-03-10,1st,61,JOURNAL,On Approving the Journal,Passed,,365,39
2005-03-10,1st,62,H R 3,On Agreeing to the Amendment,Agreed to,,224,201
2005-03-10,1st,63,H R 3,On Agreeing to the Amendment,Agreed to,,228,197
2005-03-10,1st,64,H R 3,On Motion to Recommit with Instructions,Failed,Transportation Equity Act: A Legacy for Users,190,235
2005-03-10,1st,65,H R 3,On Passage,Passed,Transportation Equity Act: A Legacy for Users,417,9
2005-03-14,1st,66,H RES 135,On Motion to Suspend the Rules and Agree,Passed,House Democracy Assistance Commission Resolution,386,2
2005-03-14,1st,67,H RES 101,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Urging the European Union to add Hezbollah to the European Union’s wide-ranging list of terrorist organizations,380,3
2005-03-14,1st,68,S 384,On Motion to Suspend the Rules and Pass,Passed,To extend the existence of the Nazi War Crimes and Japanese Imperial Government Records Interagency Working Group for 2 years,391,0
2005-03-15,1st,69,H RES 151,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 1268) making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",220,195
2005-03-15,1st,70,H RES 153,On Motion to Table,Passed,,223,194
2005-03-15,1st,71,H R 1268,Sustain the Ruling of the Chair,Passed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",224,200
2005-03-15,1st,72,H R 1268,On Agreeing to the Amendment,Failed,,191,236
2005-03-15,1st,73,H R 1268,On Agreeing to the Amendment,Agreed to,,258,170
2005-03-15,1st,74,H R 1268,On Agreeing to the Amendment,Failed,,196,231
2005-03-16,1st,75,H R 1268,On Agreeing to the Amendment,Agreed to,,420,2
2005-03-16,1st,76,H R 1268,On Motion to Recommit with Instructions,Failed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",200,229
2005-03-16,1st,77,H R 1268,On Passage,Passed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",388,43
2005-03-16,1st,78,H RES 154,On Ordering the Previous Question,Passed,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010",230,202
2005-03-16,1st,79,H RES 154,On Agreeing to the Resolution,Passed,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010",228,196
2005-03-16,1st,80,H R 1270,On Motion to Suspend the Rules and Pass,Passed,To amend the Internal Revenue Code of 1986 to extend the Leaking Underground Storage Tank Trust Fund financing rate,431,1
2005-03-16,1st,81,H CON RES 98,On Motion to Suspend the Rules and Agree,Passed,Expressing the grave concern of Congress regarding the recent passage of the anti-secession law by the National People’s Congress of the People’s Republic of China,424,4
2005-03-17,1st,82,H CON RES 95,On Agreeing to the Amendment,Failed,,180,242
2005-03-17,1st,83,H CON RES 95,On Agreeing to the Amendment,Failed,,102,320
2005-03-17,1st,84,H CON RES 32,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Expressing the grave concern of Congress regarding the occupation of the Republic of Lebanon by the Syrian Arab Republic,419,1
2005-03-17,1st,85,H CON RES 95,On Agreeing to the Amendment,Failed,,134,292
2005-03-17,1st,86,H CON RES 95,On Motion that the Committee Rise,Failed,Congressional Budget for FY 2006,101,313
2005-03-17,1st,87,H CON RES 95,On Agreeing to the Amendment,Failed,,165,264
2005-03-17,1st,88,H CON RES 95,On Agreeing to the Resolution,Passed,Congressional Budget for FY 2006,218,214
2005-03-17,1st,89,H CON RES 18,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Expressing the grave concern of Congress regarding the continuing gross violations of human rights and civil liberties of the Syrian and Lebanese people by the Government of the Syrian Arab Republic,402,3
2005-03-21,1st,90,S 686,On Motion to Suspend the Rules and Pass,Passed,For the relief of the parents of Theresa Marie Schiavo,203,58
2005-04-05,1st,91,H RES 108,On Motion to Suspend the Rules and Agree,Passed,"Commemorating the life of the late Zurab Zhvania, Prime Minister of the Republic of Georgia",402,0
2005-04-05,1st,92,H RES 120,On Motion to Suspend the Rules and Agree,Passed,"Commending the outstanding efforts by members of the Armed Forces and civilian employees of the Department of State and USAID in response to the earthquake and tsunami of December 26, 2004",401,0
2005-04-05,1st,93,H CON RES 34,On Motion to Suspend the Rules and Agree,Passed,"Honoring the life and contributions of Yogi Bhajan, a leader of Sikhs, and expressing condolences to the Sikh community on his passing",405,0
2005-04-06,1st,94,H RES 190,On Agreeing to the Resolution,Passed,Honoring the life and achievements of His Holiness Pope John Paul II and expressing profound sorrow on his death,415,0
2005-04-06,1st,95,H RES 148,On Motion to Suspend the Rules and Agree,Passed,"Supporting the goals and ideals of Financial Literacy Month, and for other purposes",409,2
2005-04-12,1st,96,H R 135,On Motion to Suspend the Rules and Pass,Passed,To establish the “Twenty-First Century Water Commission” to study and develop recommendations for a comprehensive water strategy to address future water needs,402,22
2005-04-12,1st,97,H R 541,On Motion to Suspend the Rules and Pass,Passed,"To direct the Secretary of Agriculture to convey certain land to Lander County, Nevada, and the Secretary of the Interior to convey certain land to Eureka County, Nevada, for continued use as cemeteries",423,0
2005-04-13,1st,98,H R 1463,On Motion to Suspend the Rules and Pass,Passed,Justin W. Williams United States Attorney’s Building,427,0
2005-04-13,1st,99,H R 787,On Motion to Suspend the Rules and Pass,Passed,Robert T. Matsui United States Courthouse,426,0
2005-04-13,1st,100,H RES 202,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 8) to make the repeal of the estate tax permanent,237,195
2005-04-13,1st,101,H R 8,On Agreeing to the Amendment,Failed,,194,238
2005-04-13,1st,102,H R 8,On Passage,Passed,Death Tax Repeal Permanency Act,272,162
2005-04-14,1st,103,ADJOURN,On Motion to Adjourn,Failed,,49,371
2005-04-14,1st,104,H RES 211,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes",227,199
2005-04-14,1st,105,H RES 211,On Agreeing to the Resolution,Passed,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes",227,196
2005-04-14,1st,106,H RES 213,On Motion to Table the Resolution,Passed,A Resolution Raising a Question of the Privileges of the House,218,195
2005-04-14,1st,107,S 256,On Motion to Recommit with Instructions,Failed,Bankruptcy Abuse Prevention and Consumer Protection Act,200,229
2005-04-14,1st,108,S 256,On Passage,Passed,Bankruptcy Abuse Prevention and Consumer Protection Act,302,126
2005-04-19,1st,109,H R 683,"On Motion to Suspend the Rules and Pass, as Amended",Passed,Trademark Dilution Revision Act,411,8
2005-04-19,1st,110,H J RES 19,On Motion to Suspend the Rules and Pass,Passed,Providing for the appointment of Shirley Ann Jackson as a citizen regent of the Board of Regents of the Smithsonian Institution,417,0
2005-04-19,1st,111,H J RES 20,On Motion to Suspend the Rules and Pass,Passed,Providing for the appointment of Robert P. Kogod as a citizen regent of the Board of Regents of the Smithsonian Institution,412,0
2005-04-20,1st,112,H RES 219,On Consideration of the Resolution,Passed,"Providing for the Consideration of H.R. 6, Energy Policy Act of 2005",231,193
2005-04-20,1st,113,H CON RES 126,On Motion to Suspend the Rules and Agree,Passed,"Expressing the condolences and deepest sympathies of the Congress in the aftermath of the recent school shooting at Red Lake High School in Red Lake, Minnesota",424,0
2005-04-20,1st,114,H RES 208,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Recognizing the University of Pittsburgh and Dr. Jonas Salk on the Fiftieth Anniversary of the Milestone Discovery of the Salk Polio Vaccine,422,0
2005-04-20,1st,115,H R 6,On Agreeing to the Amendment,Failed,,182,248
2005-04-20,1st,116,H R 6,On Agreeing to the Amendment,Failed,,186,239
2005-04-20,1st,117,H R 6,On Agreeing to the Amendment,Failed,,166,262
2005-04-20,1st,118,H R 6,On Agreeing to the Amendment,Failed,,170,259
2005-04-20,1st,119,H R 6,On Agreeing to the Amendment,Agreed to,,259,172
2005-04-20,1st,120,H R 6,On Agreeing to the Amendment,Agreed to,,346,85
2005-04-20,1st,121,H R 6,On Agreeing to the Amendment,Failed,,177,254
2005-04-20,1st,122,H R 6,On Agreeing to the Amendment,Failed,,200,231
2005-04-20,1st,123,H R 6,On Agreeing to the Amendment,Failed,,188,243
2005-04-21,1st,124,H R 6,On Agreeing to the Amendment,Failed,,204,225
2005-04-21,1st,125,H R 6,On Agreeing to the Amendment,Agreed to,,239,190
2005-04-21,1st,126,H R 6,On Agreeing to the Amendment,Agreed to,,302,128
2005-04-21,1st,127,H R 6,On Agreeing to the Amendment,Agreed to,,259,171
2005-04-21,1st,128,H R 6,On Agreeing to the Amendment,Failed,,203,227
2005-04-21,1st,129,H R 6,On Agreeing to the Motion to Strike,Failed,,213,219
2005-04-21,1st,130,H R 6,On Agreeing to the Amendment,Failed,,185,243
2005-04-21,1st,131,H R 6,On Agreeing to the Amendment,Failed,,194,237
2005-04-21,1st,132,H R 6,On Passage,Passed,Energy Policy Act of 2005,249,183
2005-04-26,1st,133,H R 1268,On Motion to Instruct Conferees,Passed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",417,4
2005-04-26,1st,134,H CON RES 95,On Motion to Instruct Conferees,Passed,Congressional Budget for FY 2006,348,72
2005-04-27,1st,135,JOURNAL,On Approving the Journal,Passed,,371,47
2005-04-27,1st,136,H R 902,"On Motion to Suspend the Rules and Pass, as Amended",Passed,Presidential $1 Coin Act of 2005,422,6
2005-04-27,1st,137,H CON RES 81,On Motion to Suspend the Rules and Agree,Passed,Expressing the sense of Congress regarding the two-year anniversary of the human rights crackdown in Cuba,398,27
2005-04-27,1st,138,H RES 235,On Ordering the Previous Question,Passed,"Providing for the consideration of H. Res. 22, expressing the sense of the House of Representatives that American small businesses are entitled to a Small Business Bill of Rights",228,201
2005-04-27,1st,139,H RES 236,On Ordering the Previous Question,Passed,"Providing for the consideration of H.R. 748, Child Interstate Abortion Notification Act",234,192
2005-04-27,1st,140,H RES 22,On Motion to Recommit,Failed,Expressing the sense of the House of Representatives that American small businesses are entitled to a Small Business Bill of Rights,188,222
2005-04-27,1st,141,H R 748,On Agreeing to the Amendment,Failed,Child Interstate Abortion Notification Act,179,245
2005-04-27,1st,142,H R 748,On Agreeing to the Amendment,Failed,,177,252
2005-04-27,1st,143,H R 748,On Motion to Recommit with Instructions,Failed,Child Interstate Abortion Notification Act,183,245
2005-04-27,1st,144,H R 748,On Passage,Passed,Child Interstate Abortion Notification Act,270,157
2005-04-27,1st,145,H RES 241,On Agreeing to the Resolution,Passed,Providing for the adoption of H. Res. 240,406,20
2005-04-28,1st,146,H RES 242,On Agreeing to the Resolution,Passed,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,230,199
2005-04-28,1st,147,H RES 248,On Ordering the Previous Question,Passed,Waiving points of order against the conference report to accompany the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006,228,196
2005-04-28,1st,148,JOURNAL,On Approving the Journal,Passed,,345,75
2005-04-28,1st,149,H CON RES 95,On Agreeing to the Conference Report,Passed,Congressional Budget for FY 2006,214,211
2005-04-28,1st,150,H RES 210,On Motion to Suspend the Rules and Agree,Passed,"Supporting the goals of World Intellectual Property Day, and recognizing the importance of intellectual property in the United States and worldwide",315,0
2005-05-03,1st,151,H RES 253,On Motion to Table the Resolution,Passed,,220,196
2005-05-03,1st,152,H RES 228,"On Motion to Suspend the Rules and Agree, As Amended",Passed,Observing the 30th anniversary of the fall of the Republic of Vietnam to the Communist forces of North Vietnam,416,0
2005-05-04,1st,153,H R 366,On Motion to Recommit with Instructions,Failed,Vocational and Technical Education for the Future Act,197,224
2005-05-04,1st,154,H R 366,On Passage,Passed,Vocational and Technical Education for the Future Act,416,9
2005-05-04,1st,155,H CON RES 127,On Motion to Suspend the Rules and Agree,Passed,"Calling on the Government of the Federal Republic of Nigeria to transfer Charles Ghankay Taylor, former President of the Republic of Liberia, to the Special Court for Sierra Leone to be tried for war crimes, crimes against humanity, and other serious violations of international humanitarian law",421,1
2005-05-04,1st,156,H RES 195,On Motion to Suspend the Rules and Agree,Passed,Recognizing the 60th anniversary of Victory in Europe (VE) Day and the Liberation of Western Bohemia,419,0
2005-05-04,1st,157,H R 1185,On Passage,Passed,Federal Deposit Insurance Reform Act,413,10
2005-05-04,1st,158,H RES 233,"On Motion to Suspend the Rules and Agree, As Amended",Passed,Recognizing the 60th anniversary of Victory in Europe (VE) Day during World War II,423,0
2005-05-05,1st,159,H RES 258,On Ordering the Previous Question,Passed,"Waiving points of order against the conference report to accompany the bill (H.R. 1268) making Emergency Supplemental Appropriations for Defense, the Global War on Terror, and Tsunami Relief, for the fiscal year ending September 30, 2005, and for other purposes",224,196
2005-05-05,1st,160,H R 1268,On Motion to Recommit the Conference Report with Instructions,Failed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",201,225
2005-05-05,1st,161,H R 1268,On Agreeing to the Conference Report,Passed,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes",368,58
2005-05-10,1st,162,H RES 193,On Motion to Suspend the Rules and Agree,Passed,"Expressing support to the organizers and participants of the historic meeting of the Assembly to Promote the Civil Society in Cuba on May 20, 1005, in Cuba",392,22
2005-05-10,1st,163,H RES 142,On Motion to Suspend the Rules and Agree,Passed,Supporting the goals and ideals of a “Rotary International Day” and celebrating and honoring Rotary International on the occasion of its centennial anniversary,413,0
2005-05-11,1st,164,H RES 268,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 1279) to amend title 18, United States Code, to reduce violent gang crime and protect law-abiding citizens and communities from violent criminals, and for other purposes",227,198
2005-05-11,1st,165,H R 1279,On Agreeing to the Amendment,Agreed to,,266,159
2005-05-11,1st,166,H R 1279,On Agreeing to the Amendment,Agreed to,,395,31
2005-05-11,1st,167,H R 1279,On Motion to Recommit with Instructions,Failed,Gang Deterrence and Community Protection Act,198,227
2005-05-11,1st,168,H R 1279,On Passage,Passed,Gang Deterrence and Community Protection Act,279,144
2005-05-12,1st,169,H R 1544,On Agreeing to the Amendment,Failed,,88,331
2005-05-12,1st,170,H R 1544,On Passage,Passed,Faster and Smarter Funding for First Responders Act,409,10
2005-05-16,1st,171,H R 627,On Motion to Suspend the Rules and Pass,Passed,"To designate the facility of the United States Postal Service located at 40 Putnam Avenue in Hamden, Connecticut, as the “Linda White-Epps Post Office”",390,0
2005-05-16,1st,172,H RES 266,On Motion to Suspend the Rules and Agree,Passed,Supporting the goals and ideals of Peace Officers Memorial Day,391,0
2005-05-16,1st,173,H R 2107,On Motion to Suspend the Rules and Pass,Passed,"To amend Public Law 104-329 to modify authorities for the use of the National Law Enforcement Officers Memorial Maintenance Fund, and for other purposes",392,0
2005-05-17,1st,174,H RES 278,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 2360) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2006, and for other purposes",223,185
2005-05-17,1st,175,H RES 278,"On Agreeing to the Resolution, as Amended",Passed,"Providing for consideration of the bill (H.R. 2360) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2006, and for other purposes",222,185
2005-05-17,1st,176,H R 2360,On Agreeing to the Amendment,Agreed to,,225,198
2005-05-17,1st,177,H R 2360,On Agreeing to the Amendment,Failed,,165,258
2005-05-17,1st,178,H R 2360,On Agreeing to the Amendment,Failed,,199,223
2005-05-17,1st,179,H R 2360,On Agreeing to the Amendment,Agreed to,,226,198
2005-05-17,1st,180,H R 2360,On Passage,Passed,"Department of Homeland Security Appropriations, FY 2006",424,1
2005-05-18,1st,181,H RES 283,On Ordering the Previous Question,Passed,"Providing for the consideration of H.R. 1817, Department of Homeland Security Authorization Act for Fiscal Year 2006",226,199
2005-05-18,1st,182,H RES 283,On Agreeing to the Resolution,Passed,"Providing for the consideration of H.R. 1817, Department of Homeland Security Authorization Act for Fiscal Year 2006",284,124
2005-05-18,1st,183,H R 1817,On Agreeing to the Amendment,Failed,,184,244
2005-05-18,1st,184,H R 1817,On Agreeing to the Amendment,Agreed to,,363,65
2005-05-18,1st,185,H R 1817,On Agreeing to the Amendment,Agreed to,,242,185
2005-05-18,1st,186,H R 1817,On Agreeing to the Amendment,Failed,,182,245
2005-05-18,1st,187,H R 1817,On Agreeing to the Amendment,Failed,,196,230
2005-05-18,1st,188,H R 1817,On Motion to Recommit with Instructions,Failed,Department of Homeland Security Authorization Act for Fiscal Year 2006,199,228
2005-05-18,1st,189,H R 1817,On Passage,Passed,Department of Homeland Security Authorization Act for Fiscal Year 2006,424,4
2005-05-19,1st,190,H RES 287,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 2361) making appropriations for the Department of the Interior, environment and related agencies for the fiscal year ending September 30, 2006, and for other purposes",215,194
2005-05-19,1st,191,H R 2361,On Agreeing to the Amendment,Failed,,109,311
2005-05-19,1st,192,H R 2361,On Agreeing to the Amendment,Failed,,157,262
2005-05-19,1st,193,H R 2361,On Agreeing to the Amendment,Failed,,76,344
2005-05-19,1st,194,H R 2361,On Agreeing to the Amendment,Failed,,186,235
2005-05-19,1st,195,H R 2361,On Agreeing to the Amendment,Failed,,122,298
2005-05-19,1st,196,H R 2361,On Agreeing to the Amendment,Agreed to,,249,159
2005-05-19,1st,197,H R 2361,On Agreeing to the Amendment,Failed,,90,326
2005-05-19,1st,198,H R 2361,On Motion to Recommit with Instructions,Failed,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2006",191,228
2005-05-19,1st,199,H R 2361,On Passage,Passed,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2006",329,89
2005-05-23,1st,200,H R 744,"On Motion to Suspend the Rules and Pass, as Amended",Passed,Internet Spyware (I-SPY) Prevention Act,395,1
2005-05-23,1st,201,H R 29,"On Motion to Suspend the Rules and Pass, as Amended",Passed,Securely Protect Yourself Against Cyber Trespass Act,393,4
2005-05-23,1st,202,H CON RES 149,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Recognizing the 57th Anniversary of the Independence of the State of Israel,397,0
2005-05-24,1st,203,H RES 291,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 2419) making appropriations for energy and water development for FY 2006,219,190
2005-05-24,1st,204,H R 810,On Passage,Passed,Stem Cell Research Enhancement Act,238,194
2005-05-24,1st,205,H R 2520,On Motion to Suspend the Rules and Pass,Passed,Stem Cell Therapeutic and Research Act,431,1
2005-05-24,1st,206,H R 1224,"On Motion to Suspend the Rules and Pass, as Amended",Passed,Business Checking Freedom Act,424,1
2005-05-24,1st,207,H R 2419,On Agreeing to the Amendment,Failed,,110,312
2005-05-24,1st,208,H R 2419,On Agreeing to the Amendment,Failed,,152,275
2005-05-24,1st,209,H R 2419,On Agreeing to the Amendment,Failed,,174,253
2005-05-24,1st,210,H R 2419,On Motion to Recommit with Instructions,Failed,"Energy and Water Development Appropriations, FY 2006",167,261
2005-05-24,1st,211,H R 2419,On Passage,Passed,"Energy and Water Development Appropriations, FY 2006",416,13
2005-05-25,1st,212,H RES 293,On Ordering the Previous Question,Passed,"Providing for consideration of the bill (H.R. 1815) to authorize appropriations for fiscal year 2006 for military activities of the Department of Defense, to prescribe military personnel strengths for fiscal year 2006, and for other purposes",225,200
2005-05-25,1st,213,H RES 293,On Agreeing to the Resolution,Passed,"Providing for consideration of the bill (H.R. 1815) to authorize appropriations for fiscal year 2006 for military activities of the Department of Defense, to prescribe military personnel strengths for fiscal year 2006, and for other purposes",225,198
2005-05-25,1st,214,H R 1815,On Agreeing to the Amendment,Agreed to,,245,184
2005-05-25,1st,215,H R 1815,On Agreeing to the Amendment,Agreed to,,413,16
2005-05-25,1st,216,H R 1815,On Agreeing to the Amendment,Failed,,194,233
2005-05-25,1st,217,H R 1815,On Agreeing to the Amendment,Agreed to,,428,1
2005-05-25,1st,218,H R 1815,On Agreeing to the Amendment,Agreed to,,336,92
