date,session,number,bill,question,result,description,yeatotal,naytotal
2005-03-17,1,67,S.Con.Res. 18,On the Amendment S.Amdt. 208,Agreed to,Cochran Amdt. No. 208; To modify the designation authority for an emergency requirement.,73,26
2005-03-17,1,68,S.Con.Res. 18,On the Amendment S.Amdt. 177,Agreed to,Kennedy Amdt. No. 177 As Modified; Relative to education funding.,51,49
2005-03-17,1,69,S.Con.Res. 18,On the Amendment S.Amdt. 234,Rejected,"Baucus Amdt. No. 234; To ensure that legislation to make cuts in agriculture programs receives full consideration and debate in the Senate under regular order, rather than being fast-tracked under reconciliation procedures.",46,54
2005-03-17,1,70,S.Con.Res. 18,On the Amendment S.Amdt. 239,Rejected,Biden Amdt. No. 239; Relative to funding to the Office of Community Oriented Policing Services.,45,55
2005-03-17,1,71,S.Con.Res. 18,On the Amendment S.Amdt. 240,Rejected,Byrd Amdt. No. 240; Relative to transportation funding.,45,54
2005-03-17,1,72,S.Con.Res. 18,On the Amendment S.Amdt. 225,Agreed to,Talent Amdt. No. 225; To provide the flexibility to consider all available transportation funding options.,81,19
2005-03-17,1,73,S.Con.Res. 18,On the Amendment S.Amdt. 243,Agreed to,Conrad Amdt. No. 243; To express the sense of the Senate that the tax cuts assumed in the budget resolution should include the repeal of the 1993 increase in the income tax on Social Security benefits.,94,6
2005-03-17,1,74,S.Con.Res. 18,On the Amendment S.Amdt. 241,Agreed to,Bunning Amdt. No. 241; To repeal the 1993 tax increase on Social Security benefits.,55,45
2005-03-17,1,75,S.Con.Res. 18,On the Amendment S.Amdt. 244,Rejected,"Clinton Amdt. No. 244 As Modified; To expand access to preventive health care services that reduce unintended pregnancy (including teen pregnancy), reduce the number of abortions, and improve access to women's health care.",47,53
2005-03-17,1,76,S.Con.Res. 18,On the Amendment S.Amdt. 187,Rejected,Lautenberg Amdt. No. 187; To strike the debt ceiling reconciliation instruction.,45,54
2005-03-17,1,77,S.Con.Res. 18,On the Amendment S.Amdt. 257,Rejected,Boxer Amdt. No. 257; To establish a point of order.,44,54
2005-03-17,1,78,S.Con.Res. 18,On the Amendment S.Amdt. 211,Rejected,Dorgan Amdt. No. 211; To restore funding for tribal programs and provide necessary additional funding based on recommendations from Indian country,45,55
2005-03-17,1,79,S.Con.Res. 18,On the Amendment S.Amdt. 202,Rejected,Dayton Amdt. No. 202;,37,63
2005-03-17,1,80,S.Con.Res. 18,On the Amendment S.Amdt. 238,Agreed to,"Levin Amdt. No. 238; To promote innovation and U.S. competitiveness by expressing the sense of the Senate urging the Senate Committee on Appropriations to make efforts to fund the Advanced Technology Program, which supports industry-led research and development of cutting-edge technologies with broad commercial potential and societal benefits.",53,46
2005-03-17,1,81,S.Con.Res. 18,On the Concurrent Resolution,Agreed to,S. Con. Res. 18 As Amended; Restore Pay-As-You Go Tax Cuts bill,51,49
2005-04-05,1,82,S.Res. 95,On the Resolution,Agreed to,"S. Res. 95; A resolution relating to the death of the Holy Father, Pope John Paul II.",98,0
2005-04-05,1,83,S. 600,On the Amendment S.Amdt. 278,Agreed to,Boxer Amdt. No. 278; To prohibit the application of certain restrictive eligibility requirements to foreign nongovernmental organizations with respect to the provision of assistance under part I of the Foreign Assistance Act of 1961.,52,46
2005-04-06,1,84,S. 600,On the Amendment S.Amdt. 286,Rejected,Biden Amdt. No. 286; To provide a second degree amendment related to the United States share of assessment for United Nations Peacekeeping operations.,40,57
2005-04-06,1,85,S. 600,On the Motion to Table S.Amdt. 284,Agreed to,Motion To Table Dorgan Amdt. No. 284; To prohibit funds from being used for television broadcasting to Cuba.,65,35
2005-04-06,1,86,S. 600,On the Motion to Table S.Amdt. 309,Rejected,Motion To Table Schumer Amdt. No. 309; To authorize appropriate action if the negotiations with the People's Republic of China regarding China's undervalued currency are not successful.,33,67
2005-04-11,1,87,PN211,On the Nomination,Confirmed,"Confirmation Paul A. Crotty, of New York, to be a U.S. District Judge",95,0
2005-04-11,1,88,S.Con.Res. 25,On the Resolution,Agreed to,S. Con. Res. 25; A concurrent resolution expressing the sense of Congress regarding the application of Airbus for launch aid.,96,0
2005-04-12,1,89,H.R. 1268,On the Motion S.Amdt. 344,Rejected,"Motion to Waive Sec. 402, S. Con. Res. 95 (108th) ""Emergency designation"" Re: Murray Amdt. No. 344, As Modified; To provide $1,975,183,000 for medical care for veterans.",46,54
2005-04-12,1,90,H.R. 1268,On the Motion S.Amdt. 344,Rejected,"Motion to Waive C.B.A. Re: Murray Amdt. No. 344, As Modified; To provide $1,975,183,000 for medical care for veterans.",46,54
2005-04-13,1,91,H.R. 1268,On the Motion to Table S.Amdt. 356,Rejected,"Motion to Table Durbin Amdt. No. 356; To ensure that a Federal employee who takes leave without pay in order to perform service as a member of the uniformed services or member of the National Guard shall continue to receive pay in an amount which when taken together with the pay and allowances such individual is receiving for such service, will be no less than the basic pay such individual would then be receiving if no interruption in employment had occurred.",39,61
2005-04-13,1,92,H.R. 1268,On the Motion S.Amdt. 334,Rejected,"Motion to Table Kerry Amdt. No. 334; To increase the military death gratuity to $100,000, effective with respect to any deaths of members of the Armed Forces on active duty after October 7, 2001.",25,75
2005-04-13,1,93,H.R. 1268,On the Amendment S.Amdt. 367,Rejected,"Byrd Amdt. No. 367; To reduce by $36,000,000 the amount appropriated for ""Military Construction, Army"", with the amount of the reduction to be allocated to funds available under that heading for the Camp 6 Detention Facility at Guantanamo Bay, Cuba.",27,71
2005-04-13,1,94,H.R. 1268,On the Amendment S.Amdt. 372,Agreed to,"Cornyn Amdt. No. 372; To express the sense of the Senate that Congress should not delay enactment of critical appropriations necessary to ensure the well-being of the men and women of the United States Armed Forces fighting in Iraq and elsewhere around the world, by attempting to conduct a debate about immigration reform while the supplemental appropriations bill is pending on the floor of the United States Senate.",61,38
2005-04-14,1,95,H.R. 1268,On the Amendment S.Amdt. 430,Agreed to,Byrd Amdt. No. 430 As Modified; To prohibit the use of funds by any Federal agency to produce a prepackaged news story without including in such story a clear notification for the audience that the story was prepared or funded by a Federal agency.,98,0
2005-04-18,1,96,H.R. 1268,On the Amendment S.Amdt. 464,Agreed to,Byrd Amdt. No. 464; To express the sense of the Senate on future requests for funding for military operations in Afghanistan and Iraq.,61,31
2005-04-19,1,97,H.R. 1268,On the Cloture Motion S.Amdt. 432,Rejected,"Motion to Invoke Cloture on the Chambliss Amdt. No. 432; To simplify the process for admitting temporary alien agricultural workers under section 101(a)(15)(H)(ii)(a) of the Immigration and Nationality Act, to increase access to such workers, and for other purposes.",21,77
2005-04-19,1,98,H.R. 1268,On the Cloture Motion S.Amdt. 375,Rejected,"Motion to Invoke Cloture on the Craig Amdt. No. 375; To provide for the adjustment of status of certain foreign agricultural workers, to amend the Immigration and Nationality Act to reform the H-2A worker program under that Act, to provide a stable, legal agricultural workforce, to extend basic legal protections and better working conditions to more workers, and for other purposes.",53,45
2005-04-19,1,99,H.R. 1268,On the Motion,Agreed to,"Motion to Instruct the Sgt. At Arms; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",91,7
2005-04-19,1,100,H.R. 1268,On the Motion,Agreed to,"Motion to Recess, As Modified; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",56,42
2005-04-19,1,101,H.R. 1268,On the Cloture Motion S.Amdt. 387,Agreed to,Motion to Invoke Cloture on the Mikulski Amdt. No. 387; To revise certain requirements for H-2B employers and require submission of information regarding H-2B nonimmigrants.,83,17
2005-04-19,1,102,H.R. 1268,On the Amendment S.Amdt. 387,Agreed to,"Mikulski Amdt. No. 387, As Amended; To revise certain requirements for H-2B employers and require submission of information regarding H-2B nonimmigrants.",94,6
2005-04-19,1,103,H.R. 1268,On the Cloture Motion,Agreed to,"Motion to Invoke cloture on HR 1268, As Amended; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",100,0
2005-04-20,1,104,H.R. 1268,On the Motion to Table S.Amdt. 471,Agreed to,Motion to Table Coburn Amdt. No. 471; To reduce appropriations for the Iraqi embassy to reduce outlays expected to occur in fiscal year 2007 or later.,54,45
2005-04-20,1,105,H.R. 1268,On the Amendment S.Amdt. 516,Agreed to,Byrd Amdt. No. 516; To increase funding for border security.,65,34
2005-04-20,1,106,H.R. 1268,On the Amendment S.Amdt. 498,Agreed to,Warner Amdt. No. 498; Relating to the aircraft carriers of the Navy.,58,38
2005-04-21,1,107,PN329,On the Nomination,Confirmed,"Confirmation John D. Negroponte, of New York, to be Director of National Intelligence",98,2
2005-04-21,1,108,H.R. 1268,On the Amendment S.Amdt. 520,Agreed to,"Bayh Amdt. No. 520; To appropriate an additional $213,000,000 for Other Procurement, Army, for the procurement of Up-Armored High Mobility Multipurpose Wheeled Vehicles (UAHMMWVs).",61,39
2005-04-21,1,109,H.R. 1268,On Passage of the Bill,Passed,"H.R. 1268 As Amended; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",99,0
2005-04-26,1,110,H.R. 3,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to Consider H.R. 3; SAFETEA-LU,94,6
2005-04-27,1,111,PN204,On the Nomination,Confirmed,"Confirmation J. Michael Seabright, of Hawaii, to be U.S. District Judge",98,0
2005-04-28,1,112,H.R. 3,On the Motion,Agreed to,Motion to Recess Until 2:00 p.m. Today; SAFETEA-LU,98,1
2005-04-28,1,113,H.R. 3,On the Motion to Table S.Amdt. 592,Agreed to,Motion to Table Bond Amdt. No. 592; To strike the highway stormwater discharge mitigation program.,51,49
2005-04-28,1,114,H.Con.Res. 95,On the Conference Report,Agreed to,"H. Con. Res. 95 Conference Report; Appropriations resolution FY2006, Budget",52,47
2005-04-29,1,115,PN328,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Nomination of Stephen L. Johnson to be Administrator of EPA,61,37
2005-05-09,1,116,H.R. 3,On the Amendment S.Amdt. 600,Agreed to,Talent Amdt. No. 600; To require notice regarding the criteria for small business concerns to participate in Federally-funded projects.,89,0
2005-05-10,1,117,H.R. 1268,On the Conference Report,Agreed to,"H. R. 1268 Conference Report; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",100,0
2005-05-11,1,118,H.R. 3,On the Motion,Agreed to,Motion to Waive CBA Re: Amdt. No. 605 and H.R. 3; SAFETEA-LU,76,22
2005-05-11,1,119,H.R. 3,On the Motion to Table S.Amdt. 606,Agreed to,"Motion to Table Corzine Amdt. No. 606; To establish the effect of a section of the United States Code relating to the letting of contracts on individual contributions to political campaigns, and to require the Secretary of Transportation to consider State laws that limit political contributions to be in accordance with competitive procurement requirements.",57,40
2005-05-11,1,120,H.R. 3,On the Amendment S.Amdt. 625,Rejected,Lautenberg Amdt. No. 625; To provide funding for motorcycle safety programs in States without universal helmet laws.,28,69
2005-05-11,1,121,H.R. 3,On the Amendment S.Amdt. 618,Rejected,"Harkin Amdt. No 618, as Modified; To improve the safety of nonmotorized transportation, including bicycle and pedestrian safety.",44,53
2005-05-12,1,122,H.R. 3,On the Cloture Motion S.Amdt. 605,Agreed to,Motion to Invoke Cloture on Amdt. No. 605 to H.R.3; To provide a complete substitute.,92,7
2005-05-17,1,123,H.R. 3,On the Amendment S.Amdt. 611,Rejected,"Allen Amdt. No. 611; To modify the eligibility requirements for States to receive a grant under section 405 of title 49, United States Code.",14,86
2005-05-17,1,124,H.R. 3,On the Amendment S.Amdt. 646,Rejected,Sessions Amdt. No. 646 As Modified; To reduce funding for certain programs.,16,84
2005-05-17,1,125,H.R. 3,On Passage of the Bill,Passed,H.R. 3 As Amended; SAFETEA-LU,89,11
2005-05-23,1,126,PN194,On the Motion,Agreed to,Motion To Instruct Sgt. At Arms,90,1
2005-05-24,1,127,PN194,On the Cloture Motion,Agreed to,"Motion To Invoke Cloture on the Nomination of Priscilla Richman Owen, of Texas, to be U.S. Circuit Judge",81,18
2005-05-25,1,128,PN194,On the Nomination,Confirmed,"Confirmation Priscilla Richman Owen, to be U.S. Circuit Judge",55,43
2005-05-26,1,129,PN326,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Nomination of John R. Bolton, of Maryland, to be Representative of the U.S. to the United Nations",56,42
2005-06-07,1,130,PN201,On the Cloture Motion,Agreed to,"Motion To Invoke Cloture On The Nomination of Janice R. Brown, of California, To Be U.S. Circuit Judge",65,32
2005-06-08,1,131,PN201,On the Nomination,Confirmed,"Confirmation Janice R. Brown, of California, to be U.S. Circuit Judge",56,43
2005-06-08,1,132,PN200,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of William H. Pryor, Jr., of Alabama, to be U.S. Circuit Judge",67,32
2005-06-09,1,133,PN200,On the Nomination,Confirmed,"Confirmation William H. Pryor, Jr., of Alabama, to be U.S. Circuit Judge",53,45
2005-06-09,1,134,PN195,On the Nomination,Confirmed,"Confirmation Richard A. Griffin, of Michigan, to be U.S. Circuit Judge",95,0
2005-06-09,1,135,PN196,On the Nomination,Confirmed,"Confirmation David W. McKeague, of Michigan, to be U.S. Circuit Judge",96,0
2005-06-14,1,136,PN202,On the Nomination,Confirmed,"Confirmation Thomas B. Griffith, of Utah, to be U.S. Circuit Judge",73,24
2005-06-14,1,137,H.R. 6,On the Motion to Table S.Amdt. 781,Agreed to,Motion to Table Boxer Amdt. No. 781; To ensure that ethanol is treated like all other motor vehicle fuels and that taxpayers and local governments do not have to pay for environmental damage caused by ethanol.,59,38
2005-06-15,1,138,H.R. 6,On the Motion to Table S.Amdt. 782,Agreed to,Motion to Table Schumer Amdt. No. 782; To strike the reliable fuels subtitle of the amendment.,69,28
2005-06-15,1,139,H.R. 6,On the Amendment S.Amdt. 779,Agreed to,"Domenici Amdt. No. 779, As Modified; To eliminate methyl tertiary butyl ether from the United States fuel supply, to increase production and use of renewable fuel, and to increase the Nation's energy independence.",70,26
2005-06-16,1,140,H.R. 6,On the Amendment S.Amdt. 784,Rejected,Cantwell Amdt. No. 784 As Modified; To improve the energy security of the United States and reduce United States dependence on foreign oil imports by 40 percent by 2025.,47,53
2005-06-16,1,141,H.R. 6,On the Amendment S.Amdt. 791,Agreed to,Bingaman Amdt. No. 791; To establish a renewable portfolio standard.,52,48
2005-06-20,1,142,PN326,On the Cloture Motion,Rejected,"Upon Reconsideration, Motion to Invoke Cloture on the Nomination of John R. Bolton, of Maryland, to be Representative of the United States to the United Nations",54,38
2005-06-21,1,143,H.R. 6,On the Amendment S.Amdt. 783,Rejected,Nelson (FL) Amdt. No. 783; To strike the section providing for a comprehensive inventory of Outer Continental Shelf oil and natural gas resources.,44,52
2005-06-21,1,144,H.R. 6,On the Amendment S.Amdt. 817,Agreed to,Hagel Amdt. No. 817; To provide for the conduct of activities that promote the adoption of technologies that reduce greenhouse gas intensity in the United States and in developing countries and to provide credit-based financial assistance and investment protection for projects that employ advanced climate technologies or systems in the United States.,66,29
2005-06-21,1,145,H.R. 6,On the Amendment S.Amdt. 799,Agreed to,"Voinovich Amdt. No. 799; To make grants and loans to States and other organizations to strengthen the economy, public health and environment of the United States by reducing emissions from diesel engines.",92,1
2005-06-22,1,146,H.R. 6,On the Motion to Table S.Amdt. 841,Agreed to,"Motion to Table Feinstein Amdt. No. 841; To prohibit the Commission from approving an application for the authorization of the siting, construction, expansion, or operation of facilities located onshore or in State waters for the import of natural gas from a foreign country or the export of natural gas to a foreign country without the approval of the Governor of the State in which the facility would be located.",52,45
