Student Number;Question 1 ID;Question 2 ID;Question 3 ID;Question 4 ID;Question 5 ID
122;12209;5620;2348;66;15049
123;15049;276;1122;456;2517
124;194;13243;15053;223;1119
125;66;226;206;3855;810
126;15865;12710;102;713;12929
127;243;2355;3855;2202;12720
128;11542;12720;375;445;15011
129;13274;15057;12720;809;1143
130;12812;13276;15051;12720;13222
131;2202;13292;13205;15051;445
132;15011;1608;1593;13231;12793
133;807;15033;13286;2489;167
134;15403;15865;5475;713;13231
135;537;13217;595;753;13074
136;337;2291;602;5620;102
137;5475;15051;1119;13275;714
138;2514;12752;2343;12797;818
139;13509;1049;45;12710;2511
140;12790;537;15071;13228;595
141;12720;575;3917;13243;15011
142;2514;13235;1110;166;12817
143;914;1014;15011;5553;1122
144;397;13275;15053;12721;13
145;2497;2489;5561;13292;12711
146;1011;12932;5584;445;714
147;13274;602;12709;13510;1109
148;242;167;2193;13275;12803
149;1112;999;159;2343;12710
150;12716;92;696;3855;15029
151;13201;810;2497;242;5475
152;527;1634;12711;5601;5916
153;15033;13201;2348;242;2355
154;130;2321;5620;2355;2489
155;1049;13243;15147;716;206
156;2489;2514;2291;2343;15061
157;15057;2348;13236;13235;276
158;155;13235;375;242;817
159;5561;12209;13510;697;15011
160;754;92;15064;5475;809
161;527;754;12810;12932;12817
162;2514;12171;15029;12790;15865
163;12932;5553;13231;15415;12754
164;12783;242;130;13222;13275
165;15011;15064;1110;1122;276
166;3917;12709;807;12776;13243
167;1619;13217;12721;2504;12790
168;1011;810;637;375;595
169;15065;11542;807;12098;12797
170;114;537;456;15011;12179
171;1140;15071;1109;15064;754
172;167;15011;114;397;13231
173;15052;13274;15071;12812;456
174;12710;15053;172;15865;13211
175;159;13230;602;1119;3855
176;12790;12776;1122;595;15057
177;114;166;13074;13510;445
178;5456;15053;12734;27;15403
179;190;2516;15029;166;114
180;12793;436;2321;575;2193
181;818;436;13224;15051;2354
182;15057;696;13221;13282;13201
183;15061;13234;2504;15011;13215
184;12812;696;15052;12790;2516
185;2489;12098;537;13517;13278
186;12803;1011;15147;13230;527
187;13229;15033;1140;12929;15051
188;914;12814;92;5584;15065
189;708;5561;3859;5916;809
190;15029;13278;2516;713;13211
191;15049;13274;13234;13243;5580
192;1119;13273;810;697;13278
193;456;12718;12179;2355;12930
194;226;13228;11542;12209;375
195;13224;206;631;5553;65
196;15865;1112;5456;13078;999
197;66;12718;11542;15033;12720
198;13201;12776;1630;3855;5504
199;5561;2514;1634;2202;102
200;1619;2208;12797;206;631
201;13234;810;813;130;172
202;2214;13205;436;2343;13275
203;12720;13243;13235;13276;697
204;13074;15415;13514;13234;12752
205;13222;5584;12930;159;999
206;12709;3917;11542;1143;155
207;2504;2348;15049;5456;2193
208;2291;813;276;12817;12721
209;1049;1014;12674;760;456
210;575;2371;2517;12790;13201
211;12783;12718;456;13286;2193
212;13222;12783;12929;276;190
213;807;13509;5916;1135;810
214;13514;15872;12720;12711;13278
215;766;375;813;3859;13282
216;13222;527;397;2354;12754
217;910;12817;15032;436;537
218;2514;2516;2234;243;5504
219;1619;12710;810;12711;12812
220;13278;13274;12793;11542;1619
221;813;12752;190;12745;436
222;3859;12745;818;15049;276
223;714;12179;13235;2193;766
224;15030;337;92;12754;754
225;12810;2214;1014;12716;13510
226;15147;15030;12721;12803;637
227;12720;13276;1136;631;15057
228;159;691;13282;3859;2348
229;12783;1049;12709;1122;809
230;810;12734;15051;2343;12716
231;13239;13224;5601;167;2489
232;696;45;13228;1122;12810
233;753;15415;375;15014;691
234;12718;223;12790;12674;65
235;1143;818;2234;13282;11542
236;13517;1011;2489;691;537
237;15147;809;12812;45;1143
238;1143;1110;12783;575;5580
239;12776;2348;2517;12754;1630
240;1011;13239;12793;12929;13228
241;1122;15872;691;708;12932
242;166;12109;12752;159;242
243;2291;807;12109;2504;155
244;15413;809;13224;648;2193
245;12716;1119;15014;2517;691
246;13222;753;5594;15413;12929
247;27;12718;13222;1619;13514
248;13274;15872;190;2208;2343
249;2214;45;15050;12098;809
250;397;375;12710;167;2511
251;1630;13074;527;12817;12716
252;13282;15057;13217;172;12179
253;102;2193;15065;13074;27
254;13276;1634;13078;15052;15014
255;13234;12209;12109;337;5561
256;12716;13510;2291;691;1011
257;697;602;2516;375;15872
258;15063;276;12171;5601;5580
259;27;15872;1011;1136;13278
260;5561;12817;12734;13278;753
261;13241;595;15064;15051;12776
262;11542;12817;1049;13278;13201
263;12932;65;13211;1112;12109
264;13273;13510;999;15071;15061
265;15147;595;1112;5916;5553
266;1608;13510;13211;13207;13222
267;2202;2355;65;155;1112
268;12814;12098;1593;13211;708
269;15071;1122;602;13234;13
270;13510;12817;12752;12721;575
271;1634;12674;2343;1136;15052
272;114;15872;15415;13230;12729
273;15029;714;15061;810;397
274;5580;914;648;810;15033
275;13278;2497;2511;15403;5916
276;13228;13278;15049;13207;2343
277;13241;166;2517;92;471
278;102;12729;13201;13207;45
279;166;2514;2355;12710;15865
280;13224;15413;15033;3917;13074
281;5504;2202;13274;11542;1011
282;15052;456;817;2348;436
283;12752;13282;13286;12754;13215
284;436;15053;15049;2343;159
285;766;12803;2514;2193;708
286;12817;12098;697;2489;12109
287;2234;13230;12716;1593;809
288;375;5916;13239;15029;13224
289;102;3855;12729;155;15050
290;45;12734;13207;5456;12790
291;12797;696;648;15057;716
292;5561;2489;114;12814;2504
293;15071;445;5584;12674;2514
294;12817;130;5584;602;708
295;1634;631;15064;696;12929
296;65;436;13278;2208;13224
297;537;2504;15011;45;2514
298;5475;2343;13274;637;242
299;12729;12754;13277;15049;159
300;12721;13215;1619;13234;15032
301;167;575;648;12179;15050
302;1634;12729;471;12716;12711
303;13274;13277;66;2354;2371
304;12171;12711;12718;13514;130
305;12932;15050;809;15030;697
306;697;166;13215;5475;15052
307;760;754;15071;5601;15049
308;206;1630;2193;13275;12710
309;65;1140;13211;12729;1109
310;12930;1140;13230;2321;12208
311;716;1122;12721;2214;456
312;114;3855;27;5561;5475
313;1608;1619;818;445;697
314;65;1140;2517;537;2193
315;15053;15011;13275;276;172
316;15051;12797;595;3859;5553
317;1112;65;66;12812;15053
318;45;714;13292;15147;13205
319;375;13074;12745;5561;13212
320;12930;12752;5601;12179;243
321;12718;1109;456;12817;15011
322;15049;12734;809;818;12930
323;1122;12208;12721;713;813
324;1110;2497;697;12776;12814
325;1135;15029;13207;92;13278
326;15064;12783;12752;2504;12710
327;15063;13217;13230;1119;15049
328;3855;206;172;15403;1619
329;13221;15065;13517;5504;45
330;13286;12674;102;691;13292
331;1135;15050;13221;1109;12209
332;15872;12783;13517;12711;5553
333;12932;12790;15415;12710;1619
334;15033;12776;12721;27;13517
335;12793;155;1049;5584;13201
336;810;155;12711;1619;2321
337;1049;13212;12109;375;13235
338;13278;2489;1011;13207;691
339;13274;15029;15063;102;456
340;12776;15061;15053;11542;15011
341;15057;12793;13221;397;714
342;12752;13234;12803;2193;436
343;13510;12710;15033;5456;1630
344;1630;12208;12752;999;375
345;92;12098;1593;243;810
346;13221;114;2504;12179;12752
347;2371;1011;13276;1119;12817
348;1630;276;2516;527;13205
349;5601;1110;242;45;13228
350;12729;575;760;12930;102
351;226;1122;648;13222;5916
352;13510;15029;2321;15052;2497
353;697;12814;12776;15061;2514
354;602;13239;15030;11542;527
355;13080;15415;537;12208;15057
356;15049;12716;167;13201;1049
357;5504;818;1122;1136;27
358;15061;114;914;15051;92
359;167;3859;13230;2511;12797
360;397;13080;5601;226;1112
361;15033;527;2208;575;1110
362;12776;13277;12721;714;5601
363;15413;15415;13205;713;12790
364;12711;5594;2355;114;12179
365;12752;13278;471;13201;15030
366;166;15057;13292;13221;15053
367;190;2355;1014;2193;15030
368;810;12752;648;13228;102
369;194;65;15403;27;1608
370;397;13278;12793;810;13080
371;2348;5620;15147;713;15415
372;2343;2514;3917;15030;15011
373;12179;13205;2343;375;13273
374;12776;914;818;13229;13217
375;12710;1049;12812;2193;575
376;15051;12754;12932;595;2214
377;13286;5504;2489;15872;15061
378;15865;809;15057;114;13276
379;760;13273;13286;1109;2514
380;206;5580;810;13282;13243
381;12208;1011;766;167;13236
382;15872;5561;13231;13074;13078
383;12754;753;2208;2497;999
384;910;708;15033;2511;15053
385;5594;2343;1119;1634;2202
386;527;276;172;2343;766
387;12752;807;999;818;5601
388;13509;5475;691;1014;637
389;15011;159;13278;45;276
390;13207;5601;3855;999;45
391;15030;13239;1608;2193;3917
392;760;12710;206;537;3859
393;190;2516;15057;337;15147
394;11542;3859;13241;12810;12179
395;27;15011;809;2234;813
396;114;13224;12793;12729;5620
397;714;1119;13292;1112;5584
398;2291;15872;2511;13236;15865
399;13276;15057;2321;13239;12710
400;595;15865;12752;375;1140
401;15065;276;12803;1136;155
402;12208;15057;13236;15011;766
403;714;15011;13217;92;13207
404;5475;595;1608;242;5594
405;15032;1112;810;1014;13282
406;12783;1011;13228;2516;5584
407;15413;3855;5584;13234;13212
408;13243;194;631;159;15049
409;1011;15061;5475;13080;13205
410;12793;12932;13277;809;12812
411;13205;13241;13224;155;760
412;13273;575;13221;595;11542
413;1110;2321;12776;595;999
414;527;696;12793;716;13236
415;15050;753;12109;397;575
416;2193;3855;194;13224;27
417;13224;12109;190;11542;2291
418;2504;13278;12812;13228;13231
419;914;13221;13292;13277;12209
420;13230;194;1110;15050;12754
421;445;243;714;713;766
422;12790;159;167;13514;1110
423;13205;15865;12803;13234;1634
424;2514;15415;13510;13234;27
425;1109;397;65;15403;194
426;12721;13514;45;810;914
427;13221;12930;1011;12752;13230
428;5584;13510;15061;15057;1143
429;1011;714;637;12745;2348
430;12179;15065;13212;12674;2517
431;1608;13514;194;15147;813
432;1112;12209;713;5561;102
433;5584;12179;2348;397;15051
434;13286;708;595;397;2193
435;813;527;66;190;13517
436;13205;13282;713;910;2321
437;13;13080;13201;12709;12710
438;159;15011;13277;13080;5584
439;2371;2208;172;2504;2234
440;1109;807;2321;12721;223
441;15052;1608;3855;13273;813
442;13236;242;2489;436;631
443;1122;12745;13241;206;12208
444;167;3917;114;12109;13228
445;12929;13277;2193;12721;713
446;5475;13275;12716;766;15051
447;13212;810;637;5475;595
448;810;12803;13229;276;130
449;12710;13292;5553;242;13286
450;15413;12929;2504;242;714
451;5584;13236;527;12208;15030
452;999;1593;1630;2348;243
453;1011;5456;15403;714;13212
454;13517;12797;12208;15061;2202
455;15033;15032;102;13229;2208
456;12810;15050;12208;602;15061
457;13201;813;602;13509;708
458;713;15050;2355;13241;15049
459;5456;2497;13235;754;12209
460;223;13236;102;159;15063
461;12109;13510;2348;2504;13221
462;2202;5594;2517;13230;631
463;910;13234;2208;13212;12674
464;15057;226;716;223;1122
465;15051;15049;2516;13228;2511
466;1593;5916;1608;2354;130
467;375;445;13212;12734;1011
468;15052;2214;1136;13074;1135
469;1122;13231;914;13274;190
470;12718;818;754;1122;13286
471;13080;2517;102;13;631
472;15032;12674;12752;12790;13275
473;713;5601;12208;13231;15033
474;13;13207;130;13239;527
475;5594;12817;537;813;697
476;45;15052;13292;2208;445
477;12790;45;1014;166;13243
478;12209;13235;12810;12720;12179
479;13517;13277;15052;12783;13275
480;999;2511;337;914;102
481;15061;11542;12209;714;13205
482;456;15071;397;15063;15413
483;5916;13201;167;12783;13274
484;12803;1119;12812;2291;15050
485;13243;1140;194;12793;2516
486;1011;2514;15071;13212;13074
487;13074;15413;696;2208;1634
488;12932;242;5456;12734;15064
489;12930;12716;648;13510;15413
490;1140;15049;15033;12745;15057
491;1049;3859;713;13207;914
492;13221;15029;65;2348;3859
493;1049;130;471;45;2514
494;818;15011;2517;1119;337
495;3917;12790;15011;1608;13236
496;12729;537;5561;194;375
497;527;15865;12709;15029;1143
498;13207;1140;159;1119;15415
499;12718;5456;12674;13282;13277
500;1112;2208;1140;13078;13211
501;810;5580;2511;12208;527
502;1119;15050;12752;1593;13229
503;1014;13;5620;5504;397
504;15872;1112;1608;11542;1014
505;12793;2291;5504;12098;12817
506;12803;13509;13235;15052;15057
507;3859;13234;631;13273;2504
508;12721;527;753;337;15063
509;159;375;2497;3917;12817
510;243;13205;2291;66;12817
511;1110;167;456;766;1109
512;809;12720;13221;631;13241
513;5594;13074;159;2214;15050
514;13517;13;12734;13234;12718
515;45;914;12734;190;631
516;2511;2321;5601;809;12721
517;2511;166;2343;5580;13282
518;1593;45;12729;5601;716
519;3855;696;1119;155;12718
520;12803;15030;5620;12793;15032
521;1110;242;172;5580;2511
522;13228;5553;12179;5475;12803
523;12729;242;12812;13274;15033
524;5620;1049;15053;13;2371
525;159;13215;13212;13243;15071
526;166;13229;13278;1109;2489
527;1049;1630;243;13292;2321
528;13277;914;2511;3859;13276
529;92;172;13205;397;1112
530;5601;243;65;471;2355
531;167;13239;13292;436;12716
532;190;13286;527;2514;13236
533;15050;65;114;12716;12720
534;12710;12797;13207;12776;713
535;2234;243;1110;12797;15011
536;2516;13205;12179;5561;2214
537;2343;167;910;15057;15413
538;15147;1011;13510;1122;15057
539;13235;575;12803;436;13074
540;697;13212;15063;575;1049
541;13215;818;13224;637;5475
542;810;471;13239;15065;12929
543;15032;337;13273;595;5561
544;13207;602;2517;5584;12109
545;1630;12729;15032;2291;102
546;13239;15872;12734;15053;13510
547;537;13224;11542;375;810
548;910;12171;1136;15049;753
549;13286;809;242;15030;1109
550;13224;12098;753;13273;13286
551;13212;12817;12729;13239;13277
552;13286;2321;12810;12797;172
553;2371;27;12709;12932;1112
554;1634;12109;1119;167;12209
555;12776;5594;65;13212;12716
556;194;2214;12208;66;1136
557;15051;696;243;13221;12208
558;13074;13235;12817;2355;13201
559;12709;12729;15415;15147;12797
560;2514;15032;12930;155;813
561;691;637;12793;13517;13215
562;12932;12710;12814;1140;696
563;15050;818;226;1608;5594
564;13239;12929;631;172;648
565;631;1109;753;13282;713
566;2517;13243;155;12098;1630
567;12812;65;12710;13236;15071
568;12710;13231;15033;12776;696
569;648;5580;226;810;12674
570;12179;130;15053;2202;2193
571;648;15872;2497;3855;12098
572;15014;12711;708;15413;697
573;13514;12721;1593;2343;15071
574;13274;13231;13211;2343;12932
575;5475;1049;910;2371;13282
576;3859;809;2214;5561;15049
577;194;602;13211;807;12720
578;12793;15065;2514;2214;5561
579;5594;13229;1112;2516;102
580;15050;190;1143;15051;1619
581;13222;637;92;13236;15071
582;12929;2208;190;13080;12734
583;13228;12734;13229;13292;1014
584;27;12716;397;15415;12810
585;13229;708;999;15033;337
586;13207;456;15413;242;12930
587;12721;12716;12783;15051;13217
588;15032;12752;2202;114;813
589;697;27;817;102;12814
590;1014;2214;2321;13278;637
591;696;1011;12810;65;716
592;12745;13222;5553;276;13080
593;1608;436;2355;15865;13201
594;595;15049;13276;2355;12098
595;2214;13517;12745;1119;2348
596;12754;12734;15063;66;2214
597;5504;12734;5580;2511;15061
598;1634;13517;2202;810;445
599;1049;2208;456;999;13509
600;12803;194;2291;696;2343
601;13236;13276;206;15057;12803
602;12710;2343;456;223;13212
603;194;15049;1135;13239;15064
604;337;13274;12721;13241;12790
605;631;15052;15053;65;1593
606;5561;13217;5584;15049;13234
607;15011;13212;66;92;2489
608;12932;15071;2291;13201;2208
609;159;1112;809;13292;13074
610;15865;12790;92;2504;15063
611;999;276;15051;13514;15032
612;13224;1109;206;190;5594
613;12720;15147;2371;13276;15029
614;3859;15865;5594;15049;12734
615;13074;13517;537;15033;15052
616;5475;276;337;914;13286
617;13228;2354;15413;807;13
618;12930;15032;15061;15033;13276
619;15061;2208;1136;15049;13217
620;2511;11542;810;13239;15413
621;807;2234;13224;436;13234
622;2348;13211;12171;167;5504
623;11542;13276;602;1014;2348
624;167;910;12752;637;2371
625;15065;602;12098;714;13222
626;13231;13;13243;1110;12752
627;445;13274;1049;5601;713
628;5620;12179;114;2321;12716
629;13273;5561;1014;167;5504
630;12932;12930;13509;12797;12929
631;817;2291;13282;12734;12710
632;2202;375;696;12790;13286
633;13222;243;12817;708;13074
634;13231;12179;708;5504;1593
635;12734;807;12797;5475;5584
636;12752;1634;1110;15051;12932
637;130;2202;12929;13276;13212
638;15033;2214;2291;1110;15052
639;130;13514;13215;456;13292
640;15065;5916;166;2514;27
641;12709;13273;194;13;15049
642;2516;166;12109;13275;12745
643;696;194;15029;1109;13510
644;206;13234;5584;15014;11542
645;12209;754;13229;471;15865
646;1140;5475;631;813;5916
647;708;12109;2234;12721;3855
648;15063;691;194;766;12716
649;456;12752;15061;12720;13243
650;5475;375;15413;130;1112
651;337;45;13205;12209;92
652;15061;5456;167;13241;2208
653;13212;1630;12752;12720;2504
654;15049;1143;13241;2202;13080
655;12720;15011;2208;2517;242
656;2511;810;12797;1143;15063
657;155;2348;15065;13229;1049
658;1630;12208;15865;13212;166
659;3917;3855;2497;708;713
660;13217;810;2514;1593;3855
661;809;15030;172;15050;102
662;15053;1119;15051;2371;12710
663;12817;13217;13215;15014;697
664;1119;102;766;12711;12776
665;595;602;15014;66;1608
666;12776;2234;166;13;13212
667;13241;2504;5561;12793;1122
668;5620;818;5561;696;65
669;3917;66;12709;337;1634
670;15053;12718;13211;691;471
671;12710;5553;12720;12797;194
672;2234;2193;15865;15413;15051
673;194;15014;13217;13276;13239
674;12674;13231;13509;12932;12814
675;595;15413;1122;527;13282
676;114;2511;1593;12932;12803
677;15872;12208;2489;2371;15057
678;637;13235;696;12754;15063
679;13215;15064;5504;1135;575
680;13228;3917;13277;5504;12179
681;13205;130;12752;2234;753
682;12208;1630;12803;166;397
683;5594;910;13078;242;15033
684;13234;2489;2343;12711;12790
685;15050;12716;13276;2202;155
686;696;12930;12817;5620;999
687;13241;1110;223;12709;15071
688;817;13080;12754;1143;13509
689;13241;914;13212;15052;337
690;1049;527;697;1140;12674
691;5504;12810;817;12797;471
692;602;5456;12729;1014;1619
693;13235;15063;1119;13228;15050
694;15052;12929;5561;13217;2497
695;13;1608;12721;12803;12790
696;445;15147;13273;13241;12709
697;537;12208;166;2193;2234
698;13222;12208;1136;226;527
699;12817;2355;2517;13221;375
700;5584;166;5580;13211;1136
701;167;15865;102;12929;2354
702;243;5456;194;12674;914
703;1119;13274;12793;13205;12171
704;5475;2348;190;697;2354
705;114;226;15051;648;2214
706;13217;12208;12171;13215;13078
707;13275;5561;13239;155;65
708;15030;13215;65;5916;243
709;375;5594;190;2234;15029
710;15032;13236;527;691;807
711;696;5553;2504;2489;12718
712;2354;15030;13276;1122;12209
713;130;12171;817;12930;13275
714;12710;13215;914;12711;2193
715;12793;602;807;13278;696
716;537;12208;714;2343;1135
717;445;2354;1014;2193;766
718;11542;12674;1593;5475;13078
719;575;1140;456;13278;12710
720;5456;45;575;166;13278
721;12929;5594;15071;206;12793
722;648;1119;13243;817;12171
723;166;2354;12814;637;2208
724;13282;766;155;242;575
725;12803;12793;2511;15011;12814
726;2517;753;5553;223;12783
727;15049;243;13241;172;13277
728;13276;27;12814;13517;12929
729;15147;13241;337;15030;12797
730;1136;13217;12812;5553;810
731;12803;527;12790;5561;2497
732;809;807;12803;223;13222
733;15147;13230;5620;12803;190
734;13275;12814;13080;15033;754
735;15064;13236;2516;13224;190
736;696;1112;375;813;2343
737;13074;5620;708;1634;155
738;102;15147;12729;1135;66
739;12729;2489;12812;12208;15872
740;13276;13286;2193;15050;12817
741;1619;172;714;12783;15050
742;15049;602;12709;12711;226
743;155;12711;12721;13224;5584
744;2516;807;2354;1122;1136
745;648;276;537;13080;5456
746;13273;595;5594;2516;12793
747;12710;1593;13201;13239;2214
748;15011;1608;3917;3855;12812
749;5504;15033;2514;102;13217
750;5580;15415;12932;818;456
751;1143;27;631;537;15413
752;15413;13205;1136;12814;2348
753;1608;15030;2514;1593;12776
754;2321;1136;5584;13229;159
755;12171;12716;15050;5456;2321
756;648;2202;12721;375;5553
757;5916;5601;12710;13231;5620
758;631;5580;15052;13243;11542
759;13201;12674;5504;12803;708
760;2348;1634;5553;13235;1135
761;13080;12729;15032;13235;813
762;15032;1619;13231;714;817
763;12790;714;12752;276;2234
764;5594;2202;999;696;242
765;155;12208;12709;12729;13275
766;206;12817;13212;397;5553
767;15065;12797;190;1011;130
768;15051;813;276;12814;13078
769;1119;2354;12098;810;5553
770;15413;13277;1119;13211;2517
771;12752;1140;13078;13286;436
772;12797;2497;13217;1630;12929
773;12776;1608;223;226;375
774;337;807;714;223;45
775;92;2497;713;13286;66
776;15057;13241;471;456;2348
777;15065;12674;12179;708;5504
778;15052;190;15014;2497;155
779;13080;13275;2489;13273;5475
780;15064;13277;5456;15413;760
781;13215;2514;337;753;15052
782;2214;12720;2193;155;2348
783;1136;5553;12098;5475;753
784;15030;2514;206;15865;190
785;15014;5456;12752;12783;12932
786;15014;5584;2497;910;471
787;2497;817;12797;12179;5916
788;2511;5553;13078;12793;1049
789;12208;2193;2208;13235;102
790;575;5475;2489;12208;13234
791;12754;13286;12817;12783;807
792;575;13277;648;3859;5475
793;276;12674;13230;1140;13274
794;243;13228;2511;13509;15071
795;5561;766;13207;445;3855
796;13282;13231;13212;15032;1049
797;15032;12812;15051;13;575
798;15415;12754;45;445;15065
799;11542;2517;166;194;5456
800;223;13286;2354;12729;13228
801;2202;172;15413;12109;276
802;167;15065;12209;159;716
803;12790;527;2371;13234;12745
804;714;206;691;12729;13078
805;5553;754;2371;206;817
806;13239;15147;12790;999;691
807;648;12710;65;166;13222
808;11542;15071;65;1119;15064
809;2514;637;1110;760;714
810;1049;2354;2514;5916;12752
811;807;130;1011;12793;1122
812;2214;12209;243;276;753
813;13509;527;817;1112;708
814;12814;1014;2514;2504;15049
815;12709;1630;471;714;15413
816;2371;807;166;631;13239
817;13215;5561;716;15032;13282
818;15403;807;167;12793;1122
819;12709;13231;65;810;15415
820;167;12709;5475;714;1593
821;648;15050;766;13231;12790
822;190;13201;2214;1136;15033
823;13217;12783;1140;130;15051
824;13217;15051;172;12716;708
825;3855;5504;2514;2517;337
826;1630;1112;13201;1122;12745
827;5601;537;13228;713;15032
828;12721;2371;1011;436;2504
829;5504;114;155;1630;13217
830;15029;12783;999;1619;760
831;5601;13275;471;194;13224
832;13276;12710;15050;2202;436
833;276;12776;1049;1143;12720
834;3859;445;12797;810;12098
835;15033;13201;13228;1593;15872
836;1112;194;114;15050;637
837;13273;13274;15030;12729;276
838;5620;807;914;13236;45
839;12208;15065;1634;66;12745
840;114;813;2343;11542;13292
841;713;12812;12929;12790;12711
842;13243;15065;5475;130;15413
843;243;1135;15061;13211;1143
844;13510;130;817;5456;375
845;13221;3859;1122;13514;130
846;5456;1140;2511;159;15051
847;13207;753;2321;13224;575
848;2234;714;12752;12817;1630
849;13221;15032;102;15011;13234
850;12814;754;167;2504;15033
851;243;12754;13221;15029;2208
852;12098;13074;818;12783;760
853;2202;12814;15403;159;2489
854;27;817;914;13514;13274
855;15865;753;1136;2348;13517
856;2516;537;631;15011;12729
857;12718;15061;2202;1110;45
858;12179;1140;1112;15050;13517
859;818;226;13241;5594;15064
860;15063;714;12109;45;5553
861;2291;5620;810;166;15413
862;13222;13224;13207;13230;206
863;194;445;15029;1634;2489
864;102;13292;12814;15865;1140
865;12716;2202;13074;13231;12109
866;13207;15052;12790;2193;2354
867;471;130;12812;15413;12709
868;12812;45;1110;13273;5620
869;12710;12098;1593;15415;13211
870;15403;754;13212;15011;15147
871;13276;12810;45;66;13278
872;13231;12793;5504;13241;242
873;194;12734;159;2489;13276
874;5916;190;13215;12709;66
875;12734;5580;13239;66;15032
876;15033;637;714;2489;13243
877;13215;226;13273;708;760
878;2193;595;2234;13510;5584
879;13228;15872;15011;13230;13292
880;436;15014;2371;12208;13211
881;15057;92;1634;2348;15050
882;631;12814;12721;817;12790
883;817;1135;12803;818;12710
884;817;691;1110;648;15061
885;375;5584;696;810;1593
886;12783;12674;1634;5553;1136
887;1630;807;12716;12810;3855
888;15064;602;2511;637;12752
889;2348;12171;12793;1634;5584
890;242;15415;15064;12783;1608
891;5916;1140;5456;13080;810
